Sample Size,Model,Metric,Mean,STD
100,LR,mse,0.09870033931295091,0.09856928015480693
100,X (LR),mse,2.0256169514279154,2.074322612439869
100,DR,mse,1.0908502862302312,0.4911009522928799
100,CF,mse,0.07285193774513467,0.07635294378918211
100,T (LR),mse,2.025616951427915,2.074322612439867
100,S (LR),mse,0.0665503075354898,0.09402278962972853
100,X (RF),mse,0.2434043941623612,0.10304777774930558
100,T (RF),mse,0.6409797875229257,0.16276673154760768
100,S (RF),mse,0.0015555782870221668,0.0033098758781301783
100,LR,bias,-0.0069308671807201796,0.23044336113375952
100,X (LR),bias,-0.012897470236682657,0.32765477488607037
100,DR,bias,-0.03116920510904941,0.24216546628322563
100,CF,bias,-0.018914458430922553,0.2468131418359088
100,T (LR),bias,-0.012897470236682678,0.3276547748860702
100,S (LR),bias,-0.02963999652154591,0.2559901426710495
100,X (RF),bias,-0.024235263108734667,0.2432325968862137
100,T (RF),bias,-0.022175120298851957,0.2415032229998017
100,S (RF),bias,-0.002298903183413298,0.02299030970372873
100,LR,r2,0.0,0.0
100,X (LR),r2,0.0,0.0
100,DR,r2,0.0,0.0
100,CF,r2,0.0,0.0
100,T (LR),r2,0.0,0.0
100,S (LR),r2,0.0,0.0
100,X (RF),r2,0.0,0.0
100,T (RF),r2,0.0,0.0
100,S (RF),r2,0.0,0.0
500,LR,mse,0.016924840364651438,0.01994111548062104
500,X (LR),mse,0.1949188295129712,0.06273622147443522
500,DR,mse,0.18849908854478084,0.05812381158761176
500,CF,mse,0.022651171837970094,0.01494058718795135
500,T (LR),mse,0.1949188295129712,0.06273622147443521
500,S (LR),mse,0.01123234372359563,0.017137045776953356
500,X (RF),mse,0.1653726271074301,0.03148555742101649
500,T (RF),mse,0.5227041288304632,0.048492419516162906
500,S (RF),mse,0.0014805108816105133,0.001657296371165697
500,LR,bias,0.0033456644899496507,0.09415009022985484
500,X (LR),bias,0.0002830723890168735,0.10036660969432665
500,DR,bias,0.0025030746524457026,0.09749884044885927
500,CF,bias,-0.0024076731915753822,0.0983621662240499
500,T (LR),bias,0.0002830723890168825,0.10036660969432659
500,S (LR),bias,0.0026939507553271004,0.10578277135191957
500,X (RF),bias,0.004951051591460119,0.10457181702259995
500,T (RF),bias,0.0073846485077866016,0.10018432529175837
500,S (RF),bias,0.0003971947675433213,0.014744551043012939
500,LR,r2,0.0,0.0
500,X (LR),r2,0.0,0.0
500,DR,r2,0.0,0.0
500,CF,r2,0.0,0.0
500,T (LR),r2,0.0,0.0
500,S (LR),r2,0.0,0.0
500,X (RF),r2,0.0,0.0
500,T (RF),r2,0.0,0.0
500,S (RF),r2,0.0,0.0
1000,LR,mse,0.00902654161639159,0.009575650875669455
1000,X (LR),mse,0.0983416033725029,0.028595210729011177
1000,DR,mse,0.0980965515083982,0.02855074651662191
1000,CF,mse,0.018257148952494254,0.00850986517776985
1000,T (LR),mse,0.09834160337250289,0.02859521072901116
1000,S (LR),mse,0.004619248040786787,0.006898156533257572
1000,X (RF),mse,0.1487040891464919,0.017110968867385962
1000,T (RF),mse,0.49871529246318985,0.03374773185543168
1000,S (RF),mse,0.0014149982824571503,0.0011526346589401484
1000,LR,bias,-0.0033845953516396404,0.06728328336195213
1000,X (LR),bias,-0.0025445475385700213,0.06700134996628515
1000,DR,bias,-0.0029596976349606217,0.06745237859955834
1000,CF,bias,-0.004382470775363395,0.0722074718566314
1000,T (LR),bias,-0.0025445475385700235,0.06700134996628515
1000,S (LR),bias,-0.0011005580032796864,0.06787461603811347
1000,X (RF),bias,0.0009423722637575649,0.072115686525571
1000,T (RF),bias,-0.001468908462443784,0.06846934778253076
1000,S (RF),bias,0.00043624624272263284,0.009834575840308678
1000,LR,r2,0.0,0.0
1000,X (LR),r2,0.0,0.0
1000,DR,r2,0.0,0.0
1000,CF,r2,0.0,0.0
1000,T (LR),r2,0.0,0.0
1000,S (LR),r2,0.0,0.0
1000,X (RF),r2,0.0,0.0
1000,T (RF),r2,0.0,0.0
1000,S (RF),r2,0.0,0.0
2000,LR,mse,0.0048588975971678786,0.004372030284532852
2000,X (LR),mse,0.05092449060650656,0.015806902691826743
2000,DR,mse,0.051091689904176445,0.015817595536114316
2000,CF,mse,0.014731253756800771,0.0036409716332439744
2000,T (LR),mse,0.050924490606506556,0.015806902691826736
2000,S (LR),mse,0.0028453166378881517,0.004944387157859978
2000,X (RF),mse,0.13057088636949385,0.009998844439328781
2000,T (RF),mse,0.47728382828669313,0.023837352931636725
2000,S (RF),mse,0.001542061406355512,0.0009368329261551419
2000,LR,bias,-0.00023560389387826972,0.04899932135515894
2000,X (LR),bias,-1.4352314488777912e-05,0.05046785932707189
2000,DR,bias,0.00034375246906935444,0.04954892974764059
2000,CF,bias,-0.0006997749664326192,0.048994592640420456
2000,T (LR),bias,-1.4352314488816354e-05,0.05046785932707189
2000,S (LR),bias,0.00040763721089340785,0.05326328965969512
2000,X (RF),bias,6.955230084858099e-05,0.052614656576986635
2000,T (RF),bias,0.0005176033640139483,0.050674954336250855
2000,S (RF),bias,0.00012538413916859706,0.008655261961843637
2000,LR,r2,0.0,0.0
2000,X (LR),r2,0.0,0.0
2000,DR,r2,0.0,0.0
2000,CF,r2,0.0,0.0
2000,T (LR),r2,0.0,0.0
2000,S (LR),r2,0.0,0.0
2000,X (RF),r2,0.0,0.0
2000,T (RF),r2,0.0,0.0
2000,S (RF),r2,0.0,0.0
10000,LR,mse,0.0008522960826318944,0.0008149172814595465
10000,X (LR),mse,0.009784422328210104,0.003131005657147718
10000,DR,mse,0.009757096526899713,0.0031494520505665996
10000,CF,mse,0.01166576092962561,0.0007109139618344892
10000,T (LR),mse,0.009784422328210099,0.0031310056571477135
10000,S (LR),mse,0.00042667590413307153,0.000706081006226643
10000,X (RF),mse,0.08156354650370623,0.006380019661399281
10000,T (RF),mse,0.4115587442048407,0.009069241849439493
10000,S (RF),mse,0.0013264536927341363,0.0006087940987519636
10000,LR,bias,0.0024378012818699344,0.020953952588934312
10000,X (LR),bias,0.0023301218350618457,0.020845939959690297
10000,DR,bias,0.002347273990726179,0.020923127916729924
10000,CF,bias,0.0018377801991563913,0.020466528110805182
10000,T (LR),bias,0.0023301218350619446,0.02084593995969024
10000,S (LR),bias,0.0026784369896087246,0.020474196057067733
10000,X (RF),bias,0.0021842813530999587,0.02186123826079485
10000,T (RF),bias,0.001964907459986494,0.021545507692248462
10000,S (RF),bias,0.0005280399144761134,0.003997066307600241
10000,LR,r2,0.0,0.0
10000,X (LR),r2,0.0,0.0
10000,DR,r2,0.0,0.0
10000,CF,r2,0.0,0.0
10000,T (LR),r2,0.0,0.0
10000,S (LR),r2,0.0,0.0
10000,X (RF),r2,0.0,0.0
10000,T (RF),r2,0.0,0.0
10000,S (RF),r2,0.0,0.0
