Sample Size,Model,Metric,Mean,STD
100,LR,mse,0.9965482788934616,0.23930081736606185
100,X (LR),mse,1.822200256164764,0.3904515744776451
100,DR,mse,665.5762822010547,4014.468144939467
100,CF,mse,1.0461967506776524,0.2724733497257285
100,T (LR),mse,1.822200256164764,0.39045157447764506
100,S (LR),mse,1.1582130624927829,0.31922355358522664
100,X (RF),mse,0.8583065706791818,0.21491812614411038
100,T (RF),mse,0.85928924747664,0.2141042884771636
100,S (RF),mse,0.861483047367632,0.21682240918796752
100,LR,bias,0.0008860001907838172,0.19701818067539398
100,X (LR),bias,0.019202145745214415,0.23631285644979724
100,DR,bias,0.309594231928149,5.49763639026651
100,CF,bias,0.01575833482694556,0.2218450620372732
100,T (LR),bias,0.01920214574521447,0.23631285644979722
100,S (LR),bias,0.004471954499139132,0.22065196013863597
100,X (RF),bias,-0.002584272637870209,0.21789067738658463
100,T (RF),bias,-0.001177822645984431,0.21621747682164633
100,S (RF),bias,-0.0003181017828785881,0.2162212325445944
100,LR,r2,0.08710924761334166,0.09854996073350847
100,X (LR),r2,-0.7396284435765658,0.500485270052997
100,DR,r2,-545.1011546423698,3398.646250625547
100,CF,r2,0.04756817307456084,0.10601231759512407
100,T (LR),r2,-0.7396284435765657,0.5004852700529969
100,S (LR),r2,-0.04555719901767068,0.06947448736786686
100,X (RF),r2,0.1968753767878189,0.18911035694119682
100,T (RF),r2,0.1941514971733189,0.19498587424215746
100,S (RF),r2,0.19508329302997804,0.1874259493349534
500,LR,mse,0.9429049543621838,0.10733462032105032
500,X (LR),mse,0.8897197065073814,0.0911461409474591
500,DR,mse,0.8965942228728959,0.09614587453717903
500,CF,mse,0.4318323354476297,0.13704544733242974
500,T (LR),mse,0.8897197065073813,0.09114614094745907
500,S (LR),mse,1.1295220906044903,0.15256162989380972
500,X (RF),mse,0.29531625448579535,0.07546273993317554
500,T (RF),mse,0.29528792106699503,0.07572405181752223
500,S (RF),mse,0.2966304872466804,0.07694980170317599
500,LR,bias,-0.0002675734994688226,0.09116177653971187
500,X (LR),bias,-0.0016241666205071461,0.09294899223993451
500,DR,bias,-0.005911563049425737,0.0945516709956393
500,CF,bias,0.008804384672479185,0.0921880174955152
500,T (LR),bias,-0.0016241666205071587,0.09294899223993451
500,S (LR),bias,-0.0024202969534741436,0.09231055423134343
500,X (RF),bias,0.01636679027961923,0.09291033951523821
500,T (RF),bias,0.012753897069144746,0.09347078264867478
500,S (RF),bias,0.013696288247933673,0.09408142745471475
500,LR,r2,0.15621426703785005,0.030823060092740488
500,X (LR),r2,0.19955870697729908,0.07802186565749249
500,DR,r2,0.19314527280812918,0.08535710022900861
500,CF,r2,0.6043677573146579,0.1446951255694085
500,T (LR),r2,0.1995587069772991,0.07802186565749247
500,S (LR),r2,-0.007446348423651799,0.009878037995742908
500,X (RF),r2,0.7292127457346745,0.08851956477084712
500,T (RF),r2,0.7294721826402868,0.08770057608954969
500,S (RF),r2,0.7283275722561952,0.08833683850168897
1000,LR,mse,0.9521640726511673,0.07917309219703138
1000,X (LR),mse,0.8252628927951646,0.059512561423034585
1000,DR,mse,0.8320681424247804,0.06177356099284436
1000,CF,mse,0.13780422027910005,0.06301618765957542
1000,T (LR),mse,0.8252628927951646,0.05951256142303459
