Sample Size,Model,Metric,Mean,STD
1000,LR,mse,142.72514447654464,126.54871724556398
1000,X (LR),mse,23.36102929754614,10.552656404855478
1000,DR,mse,75.0004815216493,168.29362496805038
1000,CF,mse,27.584491050229406,15.458367644994993
1000,T (LR),mse,330.19899443757294,153.73269082955989
1000,S (LR),mse,17.74726034894007,2.661831005712744
1000,X (RF),mse,44.73902771240482,31.53888310922659
1000,T (RF),mse,386.737380829606,120.93824425474374
1000,S (RF),mse,29.27548962130215,1.348710622835972
1000,LR,bias,-0.5713609406485991,8.02908776374341
1000,X (LR),bias,-0.15446046194133067,1.5301384022558964
1000,DR,bias,-0.0540976353761134,1.3895279362922337
1000,CF,bias,0.3572757933409981,1.4017838149709425
1000,T (LR),bias,-0.9630438521874265,5.421516698327311
1000,S (LR),bias,-0.034731952722619995,1.3640191055847197
1000,X (RF),bias,-0.30622284910949965,4.235221757611078
1000,T (RF),bias,-0.9314349097463015,7.394675307427091
1000,S (RF),bias,3.656219892388391,0.16809590498332716
1000,LR,r2,-7.985314276379273,7.980630536362337
1000,X (LR),r2,-0.4703131993980955,0.6631876890022861
1000,DR,r2,-3.7295471599600334,10.658066288028152
1000,CF,r2,-0.7372911711162751,0.9790842799792477
1000,T (LR),r2,-19.785421188774517,9.66787617490549
1000,S (LR),r2,-0.11710606553464348,0.16668085256759865
1000,X (RF),r2,-1.8152355662073683,1.9802489282130684
1000,T (RF),r2,-23.345572171632615,7.611630302534392
1000,S (RF),r2,-0.8425691760545242,0.07663957281785816
2000,LR,mse,75.22194065284627,76.31286848196326
2000,X (LR),mse,638.7418129005284,2386.206235404981
2000,DR,mse,30.21287535238725,11.973169016470948
2000,CF,mse,22.338510095141345,3.603029067095826
2000,T (LR),mse,712.2424359406776,2371.1770183387343
2000,S (LR),mse,16.830715790798134,1.3469298971360306
2000,X (RF),mse,34.612767918784755,15.601191747019488
2000,T (RF),mse,339.58894077636694,110.55122476522253
2000,S (RF),mse,29.140697657290616,0.7850879412422589
2000,LR,bias,-0.08599309679581384,5.56355640962079
2000,X (LR),bias,0.7394551502168842,5.60918232015545
2000,DR,bias,-0.006922518145151131,0.9902912830248152
2000,CF,bias,0.3618447544500883,0.9514023674348987
2000,T (LR),bias,0.7857413129307108,6.0595444356194275
2000,S (LR),bias,0.019717044767391365,0.9718220356339812
2000,X (RF),bias,0.32911284886655295,2.400216885709578
2000,T (RF),bias,0.40191089726686563,5.083796552190226
2000,S (RF),bias,3.641492187281863,0.0983089946869751
2000,LR,r2,-3.733270959327793,4.798512852639541
2000,X (LR),r2,-39.231545817037215,150.32610706010146
2000,DR,r2,-0.9016103591450537,0.7522773192150153
2000,CF,r2,-0.4061451536342222,0.22674661982335428
2000,T (LR),r2,-43.85424698828629,149.38042275587978
2000,S (LR),r2,-0.059456537769412704,0.08440620168310813
2000,X (RF),r2,-1.1784604666646497,0.9803892633519282
2000,T (RF),r2,-20.369654436272764,6.928417624145594
2000,S (RF),r2,-0.8342469978126579,0.04385780311736223
10000,LR,mse,27.96140829153352,12.051840086687797
10000,X (LR),mse,8.135778929363783,0.8554400496024491
10000,DR,mse,9.85406856750637,1.4282664041626776
10000,CF,mse,35.682091552390965,202.99210188731286
10000,T (LR),mse,8.135778929363786,0.8554400496024532
10000,S (LR),mse,16.057528188753643,0.2295851127108032
10000,X (RF),mse,22.89822916065344,9.06132828259218
10000,T (RF),mse,216.68673221502198,63.78715302873674
10000,S (RF),mse,29.113616339094328,0.3724868099759901
10000,LR,bias,0.03927657778004973,2.2919724710540788
10000,X (LR),bias,0.04240141370223112,0.3133541359124379
10000,DR,bias,0.07157577393232831,0.39752173343710445
10000,CF,bias,0.29057381412199895,0.3805670510606372
10000,T (LR),bias,0.04240141370223096,0.3133541359124382
10000,S (LR),bias,0.07182241013184176,0.3999699695683415
10000,X (RF),bias,-0.09683641496290629,0.8987871025767418
10000,T (RF),bias,0.04197600137392858,1.6960826598898884
10000,S (RF),bias,3.643124056719432,0.04619227871921023
10000,LR,r2,-0.7592728041932112,0.7575423719394203
10000,X (LR),r2,0.4880790914475859,0.05374548892222197
10000,DR,r2,0.37993301281361963,0.09002244803690189
10000,CF,r2,-1.2414025072815909,12.734416255691203
10000,T (LR),r2,0.48807909144758577,0.05374548892222224
10000,S (LR),r2,-0.010394352596358453,0.014604172340709286
10000,X (RF),r2,-0.4408385016975954,0.5700948808120954
10000,T (RF),r2,-12.634342318969962,4.012317354143406
10000,S (RF),r2,-0.8318909967547762,0.020670892505621263
