Sample Size,Model,Metric,Mean,STD
100,LR,mse,3215.803199516418,1007.186251777995
100,X (LR),mse,1.2157751949622524,0.35733378245882297
100,DR,mse,1112.5615176527456,3159.7235813123452
100,CF,mse,2461.4088140457366,777.5366272932298
100,T (LR),mse,1.2157751949622533,0.3573337824588297
100,S (LR),mse,2929.0570012916246,911.423933210659
100,X (RF),mse,2068.8219681051555,546.3513031383671
100,T (RF),mse,2772.905455541122,722.9562948464225
100,S (RF),mse,2877.5178970848756,894.2635868986744
100,LR,bias,0.33621018385194446,14.71532337870945
100,X (LR),bias,-0.029399663618776422,0.24784377853395625
100,DR,bias,-0.7646368297211167,8.879338529628658
100,CF,bias,-0.16733695588207584,6.302539693679443
100,T (LR),bias,-0.029399663618771707,0.2478437785339571
100,S (LR),bias,-0.37136618682671013,3.2084090799523732
100,X (RF),bias,0.12241826047924473,8.834432458252714
100,T (RF),bias,0.3321198440221028,11.202746676858025
100,S (RF),bias,0.6752721733813907,4.626152565009158
100,LR,r2,-0.119020230461378,0.20964172240261914
100,X (LR),r2,0.999533377245739,0.00022773745570414683
100,DR,r2,0.5859420170071238,1.3089626977400612
100,CF,r2,0.15637788793402238,0.06489495479141524
100,T (LR),r2,0.999533377245739,0.0002277374557041467
100,S (LR),r2,-0.0037112038360044863,0.006724016734753244
100,X (RF),r2,0.260582261131433,0.21512296047566765
100,T (RF),r2,-0.03290356224099618,0.4330423315951109
100,S (RF),r2,0.013599641632832685,0.025006291094838567
500,LR,mse,2638.3973258571095,773.7734133218985
500,X (LR),mse,0.17668424295429222,0.05202733856053425
500,DR,mse,20.907522889223813,22.16740806482304
500,CF,mse,1497.9467242094004,501.7992557620471
500,T (LR),mse,0.17668424295428917,0.05202733856053277
500,S (LR),mse,2693.064030860676,797.861568489262
500,X (RF),mse,1124.382875243729,287.410918481952
500,T (RF),mse,1763.0243428831602,321.88229029665285
500,S (RF),mse,2598.4008998576837,759.3841150834083
500,LR,bias,0.530976233090456,5.9834050375574055
500,X (LR),bias,0.013591250920592464,0.09374111431509638
500,DR,bias,0.0040201435278201855,0.9724618807182499
500,CF,bias,-0.1546723645841628,1.004441414981211
500,T (LR),bias,0.013591250920589715,0.09374111431509827
500,S (LR),bias,0.027041426677805624,0.5456763407384037
500,X (RF),bias,0.16056207751486393,2.9762477952622843
500,T (RF),bias,0.26170851978544063,4.213970329380708
500,S (RF),bias,0.05936494605489524,2.2026857793290815
500,LR,r2,0.017091697903551313,0.06304347405259321
500,X (LR),r2,0.9999264355073145,3.691412539073741e-05
500,DR,r2,0.992130268788253,0.007896738236205758
500,CF,r2,0.4485783768043374,0.05653278827129656
500,T (LR),r2,0.9999264355073144,3.691412539073853e-05
500,S (LR),r2,-0.0001100878777594061,0.00013057375481237345
500,X (RF),r2,0.5733041511296854,0.06204683700964338
500,T (RF),r2,0.29281174190763176,0.22329977439442864
500,S (RF),r2,0.03368718702121167,0.018153513493486654
1000,LR,mse,2735.721533319165,731.7421345752949
1000,X (LR),mse,0.0812345757723642,0.024373904215480784
1000,DR,mse,6.240048140794081,4.502044877212309
1000,CF,mse,1314.7111054205318,411.97022917223853
1000,T (LR),mse,0.08123457577236519,0.024373904215483036
1000,S (LR),mse,2818.8668901639444,722.1975860306937
1000,X (RF),mse,926.8411081538095,230.8779255696801
1000,T (RF),mse,1464.5592910115417,266.73909954609405
1000,S (RF),mse,2689.921468858044,671.952330391914
1000,LR,bias,0.42311189015477957,4.573401601759524
1000,X (LR),bias,0.0022534695965129416,0.06334033336634691
1000,DR,bias,-0.07844562678424549,0.6370138072245035
1000,CF,bias,0.014684161205552744,0.5721295257653023
1000,T (LR),bias,0.0022534695965125816,0.06334033336634767
1000,S (LR),bias,-0.009737643401115142,0.27614602739699334
1000,X (RF),bias,0.04919905294883428,1.9736279895193274
1000,T (RF),bias,0.2793935948171848,3.1524437409916186
1000,S (RF),bias,0.11844678824507644,1.6859904210587568
1000,LR,r2,0.02953065782553275,0.05993592979975177
1000,X (LR),r2,0.999969422642413,1.2048175856095843e-05
1000,DR,r2,0.997709114226336,0.0016818903845995028
1000,CF,r2,0.5386547904074321,0.046053503412929415
1000,T (LR),r2,0.999969422642413,1.2048175856095884e-05
1000,S (LR),r2,-2.8482680052965837e-05,3.770164524012781e-05
1000,X (RF),r2,0.6685553019289003,0.03845102173613527
1000,T (RF),r2,0.45171223384603076,0.15522260952604316
1000,S (RF),r2,0.044126771787699096,0.022852783304006242
2000,LR,mse,2768.8215747330014,634.305948964453
2000,X (LR),mse,0.0417295277724494,0.012845539712902115
